Datetime,Tweet Id,Text,Username
2023-04-17 14:02:23+00:00,1647963719874248706,@_ChangeTheTopic @Klassy_KLR @klrahul Manifesting ❤️,_parii1
2023-04-17 14:02:08+00:00,1647963656460615681,"#RCBvCSK
WHO WILL WIN THE MATCH?",Rahulyadav_00
2023-04-17 14:02:03+00:00,1647963636546019328,"Here's the Tag🤩

To celebrate Our Idol KL Rahul Birthday 😎🔥

#HappyBirthdayKLRahul  👈

Start Tweeting &amp; Mention @KLRahul in all Your Tweets❤ https://t.co/OBitK5QyPg",kl_Sanjay_01
2023-04-17 14:01:28+00:00,1647963491217620994,@_FaridKhan BCCI will still ask KL Rahul 🤣,shinchanchomu
2023-04-17 14:00:00+00:00,1647963122597085184,@KLRahulTrends_ @Pawankumar27127 @klrahul #HappyBirthdayKLRahul,the_upadhyayji
2023-04-17 13:59:50+00:00,1647963079798390784,"The KLASS 

#HappyBirthdayKLRahul https://t.co/MeqZ60ZYPt",StanKLRahul
2023-04-17 13:59:11+00:00,1647962914802880514,"@KingKalyan___ @klrahul KLR 🔥
#HappyBirthdayKLRahul",Sparsh15_17
2023-04-17 13:59:07+00:00,1647962900898672642,"@Sparsh15_17 @klrahul Born to be no.1 
@klrahul ❤️
#HappyBirthdayKLRahul https://t.co/J5O5Kf4FGP",KingKalyan___
2023-04-17 13:58:32+00:00,1647962754353881089,#HappyBirthdayKLRahul https://t.co/ETShP82JhZ,CaptainKLRahul
2023-04-17 13:57:23+00:00,1647962463281741824,"WISH YOU VERY HAPPY BIRTHDAY MY FAVOURITE ❤️🤗🤩
#HappyBirthdayKLRahul #KLRahul𓃵 #KLRahul https://t.co/1PYxTSKzWl",Pawanar02106943
2023-04-17 13:57:12+00:00,1647962416695717891,"@KingKalyan___ @klrahul These records 🔥
#HappyBirthdayKLRahul",Sparsh15_17
2023-04-17 13:57:03+00:00,1647962377629970434,@im_nithinreddy Vallu sweet 😌,_Buttowski__
2023-04-17 13:56:49+00:00,1647962320881041410,"@NikhilPrince02 @klrahul Mass God 💪
#HappyBirthdayKLRahul",Sparsh15_17
2023-04-17 13:56:01+00:00,1647962117570437120,@Rebelfied_319 @RCBTweets https://t.co/Bd9f1jTT8e,_Buttowski__
2023-04-17 13:54:43+00:00,1647961792872677378,@RVCJ_Sports Kl rahul,Saikrishnaa22
2023-04-17 13:54:38+00:00,1647961770907308032,@Rebelfied_319 @RCBTweets Match manadhe thatha,_Buttowski__
2023-04-17 13:53:58+00:00,1647961604515041280,"Happy Birthday Mass God 🦁💪

#HappyBirthdayKLRahul @KLRahul https://t.co/6ETUqWflK6",NikhilPrince02
2023-04-17 13:53:52+00:00,1647961576316518403,@kunaalyaadav @klrahul Handsome kl😎,dishant_patle15
2023-04-17 13:52:58+00:00,1647961352013578244,@cool_rahulfan @klrahul @LucknowIPL #HappyBirthdayKLRahul,DhanuYa53450860
2023-04-17 13:52:52+00:00,1647961327481114624,@amraj790 @parepatil Ab yaar Player Dheele hai Toh KL Rahul Aur Humare Bowlers Toh Kaha Paunchengay.,CricketKiBaat18
2023-04-17 13:52:02+00:00,1647961115316432896,"#HappyBirthdayKLRahul
The fastest 2000,3000,4000 runs in IPL under KL Rahul's Foot❤️🔥

And the world's 4 Fastest and India's second Fastest 2K runs in T20I under @klrahul foot 😏🔥
Ek number bolthe❤️🔥
#KLRahul || #klrahul𓃵 https://t.co/42LUg800zy",KingKalyan___
2023-04-17 13:51:21+00:00,1647960943555477504,@KingKalyan___ @klrahul ❤ #HappyBirthdayKLRahul,the_upadhyayji
2023-04-17 13:51:19+00:00,1647960934785372160,"@cool_rahulfan @klrahul @LucknowIPL Wow 
#HappyBirthdayKLRahul",Sparsh15_17
2023-04-17 13:50:17+00:00,1647960675522584587,"@Captainsurya11 @klrahul KLR 
#HappyBirthdayKLRahul",Sparsh15_17
2023-04-17 13:50:15+00:00,1647960668924960768,@Plant_Warrior kl rahul ki aytey nuvu okadevey vote vestav,Recklesslion7
2023-04-17 13:50:03+00:00,1647960616706146304,"@NikhilPrince02 @klrahul King @klrahul 
#HappyBirthdayKLRahul",Sparsh15_17
2023-04-17 13:49:43+00:00,1647960533751189505,"@the_upadhyayji @klrahul What a player 
#HappyBirthdayKLRahul",Sparsh15_17
2023-04-17 13:49:14+00:00,1647960411659030529,"@the_upadhyayji @klrahul One and only player😏❤️🔥
#HappyBirthdayKLRahul https://t.co/PlFYF41NKp",KingKalyan___
2023-04-17 13:48:49+00:00,1647960308403798017,Thought this was a kl rahul joke 🥴 https://t.co/YzpaUYfDhR,Oinkoo
2023-04-17 13:48:48+00:00,1647960304771567617,"Jaipur ✈️
KL Rahul will be celebrating his 31st birthday in Rajasthan. 
#HappyBirthdayKLRahul https://t.co/qTfmWGsNAj",cool_rahulfan
2023-04-17 13:48:27+00:00,1647960213306359808,@Pawanar02106943 @klrahul #HappyBirthdayKLRahul,DhanuYa53450860
2023-04-17 13:48:16+00:00,1647960169525936133,"Highest Strike Rate in a 50+ score by a PBKS/KXIP Opener 
318.7 - KL Rahul vs DC 2018 
233.3 - KL Rahul vs CSK 2021 
227.5 - KL Rahul vs KKR 2018
227.5 - J Bairstow vs RCB 2022
222.2 - KL Rahul vs KKR 2018
#HappyBirthdayKLRahul https://t.co/WzRnUfJiUB",_ujjW4L_
2023-04-17 13:48:06+00:00,1647960124995284993,"Happy birthday 🎂 my handsome Hero #KLRahul 1
💙💙 LSG 💙💙 https://t.co/ioaZDMivA1",ManishK34322511
2023-04-17 13:47:21+00:00,1647959936641695744,Happy Birthday to klassy @klrahul ..,triloksai18Dega
2023-04-17 13:47:07+00:00,1647959880870035457,@RVCJ_Sports KL Rahul..,ShubhRa16642789
